hprd_id	geneSymbol	refseq_id	all_nomenclature(separated by semi-colon)
00166	NPR2	NP_003986.2	Atrionatriuretic peptide receptor, type B;Atrial natriuretic peptide receptor B;Guanylate cyclase;ANP-B;ANPRB;GC-B;Natriuretic peptide receptor;NPR-B
00167	NPR3	NP_000899.1	Atrial natriuretic peptide clearance receptor;ANPRC;Atrionatriuretic peptide receptor, Type C;ANP-C;Natriuretic peptide receptor C;Atrial natriuretic peptide C-type receptor;ANP C-receptor
00168	SSB	NP_003133.1	Sjogren syndrome antigen B;La ribonucleoprotein
00169	CALR	NP_004334.1	Autoantigen Ro;RO;CRP55;Calregulin;HACBP;Sicca syndrome antigen A;ERp60;CRTC
00170	TRIM21	NP_003132.2	Sicca syndrome antigen A;SSA;Autoantigen R0/SSA 52KD;R052;Autoantigen p27;52 KDa R0 protein;Sjogren syndrome type A antigen;R0(SS-A);52 KDa ribonucleoprotein autoantigen R0/SS-A;TRIM 21;Sjogren syndrome antigen A1
00171	AXL	NP_068713.2	Oncogene AXL;AXL transforming gene;Tyrosine protein kinase receptor UFO;UFO;AXL receptor tyrosine kinase isoform 2;AXL receptor tyrosine kinase isoform 1
00172	LST1	NP_009092.3	LY117;Leukocyte specific transcript 1;B144 protein;D6S49E;Activating natural killer receptor p30;NKp30;Lymphocyte antigen 117
00173	SLC1A5	NP_005619.1	Neutral amino acid transporter like protein baboon M7 virus receptor;M7V1;M7VSI RD114 virus receptor;RDRC RD114 sensitivity;Neutral amino acid transporter B(0);Soluble carrier family 1 (Neutral amino acid transporter) member 5;ATB(0);RD114/Simian type D retrovirus receptor;Baboon M7 virus receptor
00174	BPI	NP_001716.2	CAP 57;Bactericidal permeability increasing protein
00175	SLC4A1	NP_000333.1	Band 3 of red cell membrane;BND3;Erythroid protein band 3;EPB3;EMPB3;Anion exchange protein 1;AE1;CD233 antigen
00176	BSG	NP_001719.2	Basigin;TCSF;Emmprin;M6 leukocyte activation antigen;OK blood group antigen;Tumor cell derived collagenase stimulatory factor;5F7;OK;Leukocyte activation antigen M6;Collagenase stimulatory factor;Extracellular matrix metalloproteinase inducer;CD147 antigen;Basigin isoform 1;Basigin isoform 2;Basigin isoform 4;Basigin isoform 3
00177	CD48	NP_001769.2	B cell activation marker;BCM1;BLAST1;MEM 102;B lymphocyte activation marker;BLAST 1;BCM1 surface antigen;Leucocyte antigen MEM 102;TCT 1;Antigen CD48
00178	CD40	NP_001241.1	Tumor necrosis factor receptor superfamily member 5;B-cell associated molecule CD40;TNFRSF5;B-cell surface antigen CD40;CDw40;Bp50;CD40L receptor;CD40 antigen isoform 2 precursor;CD40 antigen isoform 1
00179	BCL3	NP_005169.2	B cell leukemia/lymphoma 3;BCL4;B cell lymphoma 3 encoded protein;Chronic lymphatic leukemia protein;BCL 3 protein
00180	BCL6	NP_620309.1	Zinc finger protein 51;ZNF51;LAZ 3 protein;BCL 6;LAZ3;Lymphoma associted zinc finger gene on chromosome 3;Cys-his2 zinc finger transcription factor BCL5
00181	ADRB1	NP_000675.1	ADRB1R;B1AR
00182	ADRBK1	NP_001610.2	BARK1;BARK;BETA ARK1;Beta adrenergic receptor kinase1;GRK2;Adrenergic, beta, receptor kinase 1
00183	ADRBK2	NP_005151.2	GRK3;BARK2;Beta Ark 2;G protein coupled receptor kinase 3
00184	ST6GAL1	NP_775323.1	Beta-galactoside alpha-2,6-sialyltransferase;CMP-N-acetylneuraminate beta-galactoside alpha-2,6-sialytransferase;CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase;Alpha 2,6-ST;B-cell antigen CD75;EC 2.4.99.1;ST6Gal I;Sialyltransferase 1 isoform b;Sialyltransferase 1 isoform a;SIAT1;ST6GalI;CD75;MGC48859
00185	HSD17B1	NP_000404.2	EDH17B2;17 Beta HSD I;Estradiol 17 beta dehydrogenase II;EC 1.1.1.62
00186	HSD17B2	NP_002144.1	17 Beta HSD II;Microsomal 17-beta-hydroxysteroid dehydrogenase;20 alpha HSD;E2DH;EC 1.1.1.62
00187	ADRB2	NP_000015.1	B2AR;ADRB2R
00188	ADRB3	NP_000016.1	-
00189	B2M	NP_004039.1	-
00190	HTR1A	NP_000515.2	Serotonin 5HT1A receptor;Beta 2 adrenergic receptor like protein G21;Serotonin receptor;5HT1A;G21
00191	CEACAM1	NP_001703.2	Biliary glycoprotein;Biliary glycoprotein 1;CD66 antigen;CD66a antigen;BGP;BGP1;Carcinoembryonic antigen-related cell adhesion molecule 1 isoform 2 precursor;Carcinoembryonic antigen-related cell adhesion molecule 1 isoform 1 precursor;Biliary glycoprotein adhesion molecule
00192	DARC	NP_001116423.1	Blood group duffy system;Duffy antigen;Duffy antigen receptor for chemokines;DARC;Glycoprotein D;GpFy;Fy glycoprotein
00193	GYPC	NP_002092.1	GPC;Glycophorin D;GYPD;GPD;Sialoglycoprotein beta;Glycophorin C isoform 2;Glycophorin C isoform 1;GE;MGC126191;MGC126192;PAS-2;Glycoprotein beta;GLPC;Glycoconnectin;Sialoglycoprotein D
00194	KEL	NP_000411.1	Kell null;Blood group kell cellano system
00195	SLC14A1	NP_001122060.3	JK;Urea transporter erythrocyte;UTE;UT11;RACH1;UT-B;Blood group Kidd system
00196	FUT3	NP_000140.1	Blood group Lewis system;Le;Les;Galactoside 3 (4) L fucosyltransferase;Blood group Lewis alpha 4 fucosyltransferase;Lewis FT;FUCT III;Alpha (1,3/1,4) fucosyltransferase;FT3B;EC 2.4.1.65
00197	BCAM	NP_005572.2	Blood group lutheran system;BCAM;Lutheran blood group glycoprotein isoform 2 precursor;Lutheran blood group glycoprotein isoform 1 precursor;Lutheran blood group glycoprotein;F8/G253 antigen;Auberger b antigen;B-CAM cell surface glycoprotein;Antigen identified by monoclonal antibody F8;B-cell adhesion molecule;Glycoprotein 95kDa;MSK19;AU
00198	ICAM4	NP_001034221.1	Landsteiner Wiener Blood Group;LW;CD242 antigen;Intercellular adhesion molecule 4 isoform 1 precursor;Intercellular adhesion molecule 4 isoform 2 precursor;LW blood group protein;Intercellular adhesion molecule 4 isoform 3 precursor
00199	RHD	NP_057208.2	Blood group rhesus system D polypeptide;RhD type IIIa protein;RH polypeptide 2;RhPII;RH;Rh4;Rhesus D antigen;Rh Xlll;Rh blood group D antigen isoform 1
00200	RHCE	NP_065231.2	RHC;RHE;Rh blood group antigen Evans;Rh blood group C antigen;Membrane protein RhCe;RH30A;Hypothetical protein MGC103977;RHD;RHIXB;RHPI;RhIVb(J);Rhesus blood group, CcEe antigens isoform 1;Blood group RhCcEe antigen;Rhesus blood group C antigen;RhVIII;Rhesus blood group, CcEe antigens isoform 3;RhVI;Rhesus blood group, CcEe antigens isoform 4;Rhesus blood group, CcEe antigens isoform 2;Rh4;Rhesus system C and E polypeptides
00201	GYPB	NP_002091.2	Blood group--Ss locus;Ss;GPB;PAS 3
00202	CD80	NP_005182.1	CD28 antigen ligand 1;CD28LG1;B lymphocyte activation antigen B7-1;Activation B7-1 antigen;LAB7;B7-1 antigen
00203	CD79A	NP_001774.1	B cell antigen receptor complex associated protein alpha chain;B lymphocyte specific MB1 protein;MB 1 membrane glycoprotein;Surface IgM associated protein;Membrane bound immunoglobulin associated protein;IGA;MB1;Immunoglobulin associated alpha;CD79A antigen isoform 2 precursor;CD79A antigen isoform 1 precursor
00204	MS4A1	NP_690605.1	Membrane spanning 4 domains, subfamily A, member 1;B1;B lymphocyte surface antigen B1;Leu 16;Bp35;Hypothetical protein MGC3969;MS4A2;S7;CD20;CD20 antigen;CD20 receptor
00205	BGLAP	NP_954642.1	Bone gamma carboxyglutamaic acid protein;BGP;Gamma carboxyglutamicacid protein
00206	BMP2	NP_001191.1	BMP2A
00207	BMP4	NP_001193.2	BMP2B;BMP2B1;ZYME;Bone morphogenetic protein 2B
00208	BMP3	NP_001192.2	-
00209	BMP1	NP_006120.1	TLD;Procollagen C-proteinase;PCP;Mammalian tolloid protein;mTld;Bone morphogenetic protein 1 isoform 2, precursor;Bone morphogenetic protein 1 isoform 3, precursor;Bone morphogenetic protein 1 isoform 1, precursor;PCOLC
00210	BMP5	NP_066551.1	-
00211	BMP6	NP_001709.1	VG1 related sequence
00212	BMP7	NP_001710.1	Osteogenic protein 1;OP1
00213	BDKRB2	NP_000614.1	Bradykinin receptor B2;BKR2;B2 bradykinin receptor;BK2 receptor;B2R
00214	BDNF	NP_001137282.1	Brain-derived neurotrophic factor isoform a preprotein;Brain-derived neurotrophic factor isoform b;Brain-derived neurotrophic factor isoform c;Hypothetical protein MGC34632;Neurotrophin
00215	YWHAH	NP_003396.1	Tyrosine 3 monooxygenase/Tryptophan 5 monooxygenase activation protein, eta isoform;Brain protein 14-3-3, eta isoform;Tyrosine 3-monooxygenase/Tryptophan 5-monooxygenase activation protein 1;YWHA1;Protein AS1
00216	BCAT1	NP_005495.2	MECA39;ECA39;Branched Chain Aminotransferase 1
00217	BCAT2	NP_001181.2	BCT2;Branched chain amino acid aminotransferase, mitochondrial;BCATM;Placental protein 18;PP18a;ECA40
00218	BRCA1	NP_009231.2	Breast cancer 1 early onset isoform BRCA1 delta2-10;Breast cancer 1 early onset isoform BRCA1-delta9-11;Breast cancer 1 early onset isoform BRCA1-delta14-17;Breast cancer 1 early onset isoform BRCA1 delta14-18;Breast cancer 1 early onset isoform BRCA1-delta9-10;Breast cancer 1 early onset isoform BRCA1-delta11;Breast cancer 1 early onset isoform BRCA1-delta11b;Breast cancer 1, early onset isoform 1;Breast cancer 1, early onset;BRCA1/BRCA2-containing complex, subunit 1;Breast and ovarian cancer susceptibility protein 1;Breast cancer 1 early onset isoform BRCA1-delta9-10-11b;Ring finger protein 53;IRIS
00219	TFF1	NP_003216.1	Breast cancer estrogen inducible sequence;BCEI;pS2;pS2 protein;Gastro-intestinal trefoil protein pS2;HP1.A;PNR-2;HPS2;D21S21
00220	POU4F2	NP_004566.2	BRN3.2;Pou-domain transcription factor BRN3B;Brain-specific homeobox/POU domain protein 3B;Pou domain, class4 transcription factor 2
00221	UCP1	NP_068605.1	Brown adipose tissue uncoupling protein;Thermogenin;Mitochondrial brown fat uncoupling protein 1
00222	DST	NP_001138241.1	BP240;BPA;MACF2;CATX15;FLJ13425;FLJ21489;FLJ30627;FLJ32235;KIAA0728;Trabeculin-beta;230/240 kDa bullous pemphigoid antigen;Hemidesmosomal plaque protein;Dystonia musculorum protein;Dystonin;DMH;Dystonin isoform 1e;Dystonin isoform 1eA;Dystonin isoform 1eB;Dystonin isoform 1
00223	COL17A1	NP_000485.3	BPAG2;BP180;Alpha 1 type XVII collagen;KIAA0204 protein;BA16H23.2;Bullous pemphigoid antigen 2, 180kD;Collagen type XVII alpha 1, BP180
00224	C5AR1	NP_001727.1	C5a anaphylatoxin receptor;C5AR
00225	CDH15	NP_004924.1	M Cadherin;CDHM;MCAD;CDH14;Myotubule cadherin;Muscle cadherin;CDH3;Cadherin 3;Cadherin 14
00226	CDH2	NP_001783.2	Cadherin, neuronal;N Cadherin;NCAD;CDHN
00227	CDH3	NP_001784.2	Cadherin, placental;P cadherin;PCAD;Calcium dependent adhesion protein, placental;CDHP
00228	CTNNA2	NP_004380.2	N-Catenin, Alpha;Cadherin associated protein, related;CAPR;CTNR;Alpha-2 catenin;Alpha catenin related protein
00229	CALB1	NP_004920.1	CALB;Calbindin D28K;CALBINDIN 28KD
00230	CALB2	NP_001731.2	Calbindin;Calbindin D29K;Calretinin;CAB29;Calbindin 2 isoform 20k;Calbindin 2 isoform 22k;Calbindin 2 full length protein isoform
00231	ANXA6	NP_001146.2	Annexin A6;Annexin VI isoform 2;Annexin VI isoform 1;ANX6 Calcium binding protein p68;Calelectrin;Calphobindin II
00232	S100A10	NP_002957.1	S100 calcium binding protein A10;CAL1L;Calpactin 1, p11 subunit;CLP11;Annexin 2 ligand;ANX2LG;Annexin 2, light chain;p11
00233	CAST	NP_001741.4	Calpastatin isoform b;Calpastatin isoform c;Calpastatin isoform a;Calpain inhibitor;Sperm BS 17 component;BS-17;MGC9402;Heart type calpastatin
00234	PPP3CA	NP_000935.1	Protein phosphatase 3, catalytic subunit, alpha isoform;CALN;CCN1;CNA1;CALNA
00235	PPP3CB	AAH28049.1	Calcineurin A beta;CALNA2;CALNB;Calcineurin A1
00236	PPP3CC	NP_005596.2	Protein phosphatase 3, catalytic subunit, gamma isoform CALNA3;Calcineurin A-gamma Protein phosphatase 2B, catalytic subunit, gamma isoform
00237	S100A6	NP_055439.1	S100 Calcium binding protein A6;PRA;MLN 4;CACY;Prolactin receptor associated protein;Growth factor inducible protein 2A9
00238	CALCA	NP_001732.1	KC;CGRP1;MGC126648;Calcitonin/Calcitonin-related polypeptide, alpha calcitonin;CALC1;CT calcitonin gene related peptide;CGRP;CT;Katacalcin
00239	CALCR	NP_001733.1	CTR;CTR1
00240	CAPNS1	NP_001740.1	Calpain, small polypeptide;Calpain 4, small subunit (30K);Calcium activated neutral proteinase;Calcium dependent protease, small subunit;30K;CANP;CDPS;CANPS;CAPN4
00241	CALM1	NP_008819.1	Phosphorylase kinase, delta;PHKD;CALML2;CAMI
00242	CALM2	NP_001734.1	PHKD2
00243	CALM3	NP_005175.2	PHKD3;Phosphorylase kinase, delta
00244	CALML3	NP_005176.1	Calmodulin like protein;CLP;Calmodulin-related protein NB 1
00245	CACNA2D1	NP_000713.2	CCHL2A;CACNA2;CACNL2A;Calcium channel, alpha 2/delta subunit;Dihydropyridine sensitive L type, calcium channel alpha 2/delta subunit
00246	CACNA1C	NP_955630.2	CaV1.2;CACN2;CACH2;CCHL1A1;CACNL1A1;DHPR, alpha 1 subunit;Voltage gated calcium channel alpha subunit Cav1.2;Calcium channel, cardiac dihydropyridine sensitive, alpha 1C subunit
00247	CACNA1D	NP_000711.1	CCHL1A2;CACH3;CACN4;Cav1.3;CACNL1A2;Voltage gated calcium channel alpha subunit Cav1.3;Calcium channel L type alpha 1 polypeptide isoform 2;Calcium channel neuorendocrine/brain type alpha 1 subunit;Calcium channel voltage dependent L type alpha 1D subunit;Voltage dependent L type calcium channel alpha 1D subunit
00248	CACNA1S	NP_000060.2	Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle;CACNL1A3;CCHL1A3;calcium channel, skeletal muscle dihydropyridine-sensitive, alpha-1 subunit;MHS5;HOKPP
00249	CACNG1	NP_000718.1	L type calcium channel gamma polypeptide;Calcium channel, L type, gamma polypeptide;Voltage dependent calcium channel gamma 1 subunit;Calcium channel, neuronal dihydropyridine sensitive, gamma subunit;Neuronal dihydropyridine sensitive calcium channel gamma subunit;Dihydropyridine sensitive L type, skeletal muscle calcium channel gamma subunit
00250	CAPS	NP_004049.1	Thyroid protein p24
00251	CALD1	NP_149129.2	Caldesmon 1 isoform 3;Caldesmon 1 isoform 4;Caldesmon 1 isoform 2;Caldesmon 1 isoform 5;Caldesmon 1 isoform 1;CDM;CaD;NAG22;Caldesmon;H-CAD;L-CAD
00252	CANX	NP_001737.1	P90;CNX;IP90;Major histocompatibility complex Class I antigen-binding protein p88;CLX;p88
00253	CAPN1	NP_005177.2	calpain, large polypeptide L1;calcium activated neutral proteinase;CANP;muCL;CANPL1;muCANP
00254	CAPN2	NP_001739.2	calpain, large polypeptide L2;calcium-activated neutral proteinase;mCANP;CANPL2;CANPml
00255	CAPN3	NP_000061.1	Calcium-activated neutral proteinase 3;NCL1;Calpain p94;Calpain L3;Calpain 3 isoform e;Calpain 3 isoform b;Calpain 3 isoform c;Calpain 3 isoform d;Calpain 3 isoform f;Calpain 3 isoform g;Calpain 3 isoform h;Calpain 3 isoform a;Calpain, large polypeptide L3;Calpain p94, large [catalytic] subunit;Muscle specific calcium activated neutral protease 3 large subunit;p94;CANP3;EC 3.4.22.17;LGMD2;nCL-1;CANPL3;LGMD2A;MGC4403;MGC10767;MGC11121;MGC14344
00256	CASQ2	NP_001223.2	Calsequestrin, fast twitch, cardiac muscle;Cardiac calsequestrin 2
00257	CD52	NP_001794.2	Cambridge pathology 1 antigen;Epididymal secretory protein E5;Campath 1 antigen;CD52 antigen;HE5;CAMPATH-1
00258	NUP214	NP_005076.3	CAIN Gene;CAN;Nucleoporin 214 KD;Nuclear pore complex protein Nup214;Nucleoporin Nup214
00259	CNR1	NP_057167.2	Central cannabinoid receptor isoform b;Central cannabinoid receptor isoform a;Brain cannabinoid receptor 1;CB1 receptor
00260	CA3	NP_005172.1	Carbonic anhydrase muscle specific;Carbonate dehydratase III;Carbonic anhydrase C;CA III;EC 4.2.1.1
00261	CA4	NP_000708.1	Carbonate dehydratase IV;CA IV;EC 4.2.1.1
00262	CA5A	NP_001730.1	Carbonate dehydratase VA;Carbonic anhydrase, Mitochondrial;CA V;CA VA;EC 4.2.1.1
00263	CA7	NP_005173.1	Carbonic anhydrase VII isoform 1;Carbonic anhydrase VII isoform 2;Carbonate dehydratase VII;CA VII;EC 4.2.1.1
00264	CA6	NP_001206.2	Secreted carbonic anhydrase;Salivary carbonic anhydrase;Carbonic anhydrase secreted;Carbonate dehydratase VI;Gustin;CA VI;EC 4.2.1.1
00265	CA1	NP_001729.1	CA I;Carbonic anhydrase I, erythrocyte, electrophoretic variants of;Carbonic anhydrase A;EC 4.2.1.1
00266	CA8	NP_004047.3	Cabonic anhydrase-related polypeptide;Carbonic anhydrase-related protein;Carbonic anhydrase-like sequence;CA VIII;CA-RP VIII;CARP;CALS;EC 4.2.1.1
00267	CBR1	NP_001748.1	Carbonyl reductase;CBR;Carbonyl reductase NADPH 1;NADPH-dependent carbonyl reductase 1;Prostaglandin E2 9 reductase;Prostaglandin 9ketoreductase;EC 1.1.1.184
00268	CES1	NP_001020366.1	TGH;ACAT;CES2;MGC117365;Triacylglycerol hydrolase;Carboxylesterase 1 isoform b precursor;Carboxylesterase 1 isoform a precursor;Carboxylesterase 1 isoform c precursor;Acyl coenzyme A cholesterol acyltransferase;Monocyte/macrophage serine esterase 1;Monocyte/macrophage serine esterase;Alpha naphthylacetate esterase;Brain carboxylesterase hBr1;Cholesteryl ester hydrolase;Liver carboxylesterase;Carboxylesterase liver;Alveolar esterase;Serine esterase 1;Acid esterase;Egasyn;HMSE1;HMSE;ANAE;SES1;CEH;HU1;EC 3.1.1.1
00269	CPA1	NP_001859.1	Procarboxypeptidase A1 pancreatic;CPA
00270	CPA3	NP_001861.2	Carboxypeptidase A3 mast cell;Mast cell carboxypeptidase A;MCCPA
00271	CPB1	NP_001862.2	Carboxypeptidase B pancreatic;Procarboxypeptidase B pancreatic;Pancreas specific protein;PCPB;PASP;EC 3.4.17.2
00272	CPE	NP_001864.1	Carboxypeptidase H;Enkephalin convertase;Prohormone processing carboxypeptidase;CPH
00273	CPM	NP_001865.1	-
00274	CEACAM5	NP_004354.2	Carcinoembryonic antigen;CEA;Meconium antigen 100;CD66e antigen
00275	HAPLN1	NP_001875.1	Proteoglycan link protein;Cartilage linking protein 1;LP;Hyaluronan and proteoglycan link protein 1
00276	MATN1	NP_002370.1	CARTILAGE MATRIX PROTEIN
00277	CSNK2A1	NP_001886.1	Casein kinase II alpha 1 subunit isoform a;Casein kinase II alpha 1 subunit isoform b;CK2 catalytic subunit alpha;Casein kinase II alpha subunit;Casein kinase II alpha 1 subunit;Protein kinase CK2;CK2, alpha 1;CK II;Casein kinase II;CK2A1;Casein kinase II, alpha chain;EC 2.7.1.37
00278	CSNK2B	NP_001311.3	G5a;EC 2.7.1.37;EC 2.7.11.1;Casein kinase 2, beta polypeptide;CSKN2B;Casein kinase II, beta subunit;CK2B;Phosvitin;CKII beta
00279	CSNK2A2	NP_001887.1	Casein kinase 2 alpha prime;CK2A2;CK2, alpha 2
00280	CSN1S1	NP_001881.1	Casein;CSN1;Alpha;Alpha-s1-casein;CASA
00281	CSN2	NP_001882.1	CASB
00282	CAT	NP_001743.1	EC 1.11.1.6
00283	TYRP1	NP_000541.1	TYRP;TRP;Catalase B;CATB;CAS2;Glycoprotein 75;GP75;b-protein;EC 1.14.18.-
00284	COMT	NP_000745.1	Catechol-O-methyltransferase, soluble form;S-COMT;Catechol-O-methyltransferase isoform S-COMT;Catechol-O-methyltransferase isoform MB-COMT;EC 2.1.1.6
00285	CTNNA1	NP_001894.2	Catenin (cadherin-associated protein), alpha 1;Alpha E catenin;Cadherin associated protein
00286	CTNNB1	NP_001895.1	Catenin, beta 1;Cadherin associated protein, beta;CTNNB
00287	CTSB	NP_680090.1	Cathepsin B1;APP secretase;Amyloid precursor protein secretase;APPS;CPSB;EC 3.4.22.1
00288	CTSH	NP_004381.2	Cathepsin H isoform b;Cathepsin H isoform a;Aleurain;Cathepsin B3;Cathepsin BA;N-benzoylarginine-beta-naphthylamide hydrolase;CPSB;MGC1519;EC 3.4.22.16
00289	CTSG	NP_001902.1	CathepsinG;CG
00290	GZMH	NP_219491.1	Cathepsin G like 2;CTSGL2;CGL2;Cytotoxic T lymphocyte proteinase;CCP-X;Cytotoxic serine protease C;CSP C
00291	CTSD	NP_001900.1	CATD;Cathepsin D, lysosomal aspartyl protease
00292	CTSS	NP_004070.3	Cathepsin S preproprotein;MGC3886
00293	CTSL1	NP_001903.1	OTTHUMP00000063566;Major excreted protein;MEP;CATL
00294	CTSE	NP_001901.1	Cathepsin E isoform b preproprotein;Cathepsin E isoform a preproprotein;Erythrocyte membrane aspartic proteinase;EC 3.4.23.34;CATE;Slow moving proteinase
00295	CUX1	NP_853530.2	CCAAT displacement protein isoform b;CCAAT displacement protein isoform c;CCAAT displacement protein isoform a;CCAAT displacement protein;CDP;Cut homeobox;Cux;p75;CASP;COY1;p100;p110;p200
00296	CEBPA	NP_004355.2	C/EBPA;CCAAT/Enhancer binding protein, alpha
00297	CEBPD	NP_005186.2	C/EBP delta;CRP3
00298	CDKN1A	NP_510867.1	Melanoma differentiation associated protein 6;CDKN1;p21CIP1;CIP 1;WAF1;MDA 6;p21;SDI1;CAP20;PIC1;DNA synthesis inhibitor;CDK-interaction protein 1;Wild-type p53 activated fragment 1;Cyclin dependent kinase inhibitor 1
00299	CKS1B	NP_001817.1	Cdc2 associated protein CKS1;CKS1;Cyclin dependent kinases regulatory subunit 1;Sid1334;PNAS-16 / PNAS-143;CDC28 protein kinase regulatory subunit 1B
00300	CKS2	NP_001818.1	CDC28 protein kinase 2;CDC28 protein kinase regulatory subunit 2;Cyclin dependent kinases regulatory subunit 2;CKSHS2
00301	NCAM1	NP_851996.2	MSK39;CD56 antigen;Antigen recognized by monoclonal antibody 5.1H11;Neural cell adhesion molecule 1 isoform 2;Neural cell adhesion molecule 1 isoform 1;CD56;NCA1;NCAM 140;NCAM
00302	CDK1	NP_001777.1	Cell division cycle 2 protein isoform 2;Cell division cycle 2 protein isoform 1;Cell division cycle 2, G1 to S and;G2 to M;Cell cycle controller CDC2;p34 (CDC2);Cyclin dependent kinase 1;CDK1;p34 protein kinase;Cell division control protein 2 homolog;Cdc2 kinase;EC 2.7.1.37
00303	MCM2	NP_004517.2	Minichromosome maintenance protein 2;Nuclear protein BM28;DNA replication licensing factor MCM2;CDCL1;BM28;KIAA0030;Mitotin;Cell division cycle like 1;Cdc19;D3S3194
00304	CDC27	NP_001107563.1	Cell division cycle 27;APC3;H NUC;Cell division cycle protein 27 homolog;Nuc2 homolog;Anaphase promoting complex, protein 3
00305	CDC25A	NP_001780.2	Cell division cycle 25A isoform b;Cell division cycle 25A isoform a;Cell division cycle 25A;M phase inducer phosphatase 1;Dual specificity phosphatase Cdc25A
00306	CDC34	NP_004350.1	Ubiquitin protein ligase;Ubiquitin carrier protein;E2-CDC34;Ubiquitin conjugating enzyme E2-32 kDa complementing;EC 6.3.2.19
00307	CDC25B	NP_068660.1	Cell division cycle 25B isoform 1;Cell division cycle 25B isoform 2;Cell division cycle 25B isoform 3;Cell division cycle 25B;M-phase inducer phosphatase 2;Dual specificity phosphatase Cdc25B;CDC25HU2;EC 3.1.3.48
00308	CDC2L2	NP_277073.1	-
00309	CDC42	NP_001782.1	Cell division cycle 42;GTP-binding protein, 25kD;Small GTP binding protein CDC42;DJ224A6.1.1 (cell division cycle 42 (GTP-binding protein, 25kD);Cell division cycle 42 isoform 2;Cell division cycle 42 isoform 1;G25K
