00001	-	NP_000680.2	ALDH1A1	General	Aldehyde dehydrogenase activity (GO:0004028)	1709013	Aldehyde metabolism (GO:0006081)	1709013	-	-
00084	-	NP_006269.1	ST3GAL4	General	Sialyltransferase activity (GO:0008373)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Golgi apparatus (GO:0005794); Integral to membrane (GO:0016021); Extracellular (GO:0005576)	7588599,7901202,7901202
00085	-	NP_000674.2	ADRA2C	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Integral to membrane (GO:0016021); Endosome (GO:0005768)	-,10196213
00086	-	NP_000673.2	ADRA2B	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	2164221
00087	-	NP_000012.1	PSEN1	General	Cell adhesion molecule activity (GO:0005194)	11226248	Cell-cell adhesion (GO:0016337)	11226248	Perinuclear region (GO:0048471); Plasma membrane (GO:0005886); Cytoplasm (GO:0005737); Endoplasmic reticulum (GO:0005783); Golgi apparatus (GO:0005794); Kinetochore (GO:0000776); Centrosome (GO:0005813); Nucleus (GO:0005634)	9298903,16306047,10341227,9013610,11076969,17081983,8574969,15549135,9013610,8574969,9013610,9298903,9298903,17081983
00087	00087_1	NP_000012.1	PSEN1	Isoform_specific	-	-	-	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	17081983,17081983
00088	-	NP_001082.2	ABP1	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Extracellular (GO:0005576)	11855874
00089	-	NP_001753.1	CCT6A	General	Chaperone activity (GO:0003754)	-	Protein metabolism (GO:0019538)	-	Cytoplasm (GO:0005737); Microtubule (GO:0005874)	7953530,15561729
00089	00089_1	NP_001753.1	CCT6A	Isoform_specific	Chaperone activity (GO:0003754)	-	Protein metabolism (GO:0019538)	-	-	-
00089	00089_2	NP_001009186.1	CCT6A	Isoform_specific	Chaperone activity (GO:0003754)	-	Protein metabolism (GO:0019538)	-	-	-
00090	-	NP_000332.2	SLC3A1	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886); Mitochondrion (GO:0005739)	11318953,10574970,15598749
00091	-	NP_003036.1	SLC7A1	General	Auxiliary transport protein activity (GO:0015457)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	12388095
00092	-	NP_000657.1	ACY1	General	Hydrolase activity (GO:0016787)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	8394326
00093	-	NP_001648.1	AREG	General	Growth factor activity (GO:0008083)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	11038170
00094	-	NP_000690.1	AMY2A	General	Amylase activity (GO:0016160)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Extracellular (GO:0005576)	11376382,14718574
00095	-	NP_066188.1	AMY2B	General	Amylase activity (GO:0016160)	-	Energy pathways (GO:0006091); Metabolism (GO:0008152)	-,-	Extracellular (GO:0005576)	8268204
00096	-	NP_004029.2	AMY1A	General	Amylase activity (GO:0016160)	11858714	Metabolism (GO:0008152)	12782315	Extracellular (GO:0005576)	11858714
00096	00096_1	NP_004029.2	AMY1A	Isoform_specific	Amylase activity (GO:0016160)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
00097	-	NP_000322.2	SAA1	General	Transporter activity (GO:0005215)	10504381	Lipid transport (GO:0006869); Inflammatory response (GO:0006954)	10504381,10504381	Extracellular (GO:0005576)	9815279,16188874
00097	00097_1	NP_000322.2	SAA1	Isoform_specific	Transporter activity (GO:0005215)	-	Lipid transport (GO:0006869)	-	-	-
00098	-	NP_110381.2	SAA2	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Extracellular (GO:0005576)	3950541,8089807
00099	-	NP_006503.1	SAA4	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Extracellular (GO:0005576)	8159722
00100	-	NP_000475.1	APP	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Nucleus (GO:0005634); Integral to membrane (GO:0016021); Cell surface (GO:0009986); Vesicle (None)	12032152,16049941,12080182,7593229,12805363,17332754
00100	00100_1	NP_000475.1	APP	Isoform_specific	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
00100	00100_2	NP_958816.1	APP	Isoform_specific	Receptor activity (GO:0004872)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	Plasma membrane (GO:0005886)	16554819
00100	00100_3	NP_958817.1	APP	Isoform_specific	Receptor activity (GO:0004872)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	Endoplasmic reticulum (GO:0005783); Golgi apparatus (GO:0005794); Endosome (GO:0005768); Cytoplasm (GO:0005737); Extracellular (GO:0005576); Plasma membrane (GO:0005886); Nucleus (GO:0005634)	10075692,11378243,10075692,11423558,15197182,10075692,15197182,14722157,12080182,15073156,15197182,7556457,14722157
00101	-	NP_001630.1	APCS	General	Binding (GO:0005488)	-	Protein metabolism (GO:0019538)	-	Extracellular (GO:0005576); Nucleus (GO:0005634); Cytoplasm (GO:0005737)	12767937,16188874,14519527,14519527
00102	-	NP_001019978.1	APLP1	General	Transcription regulator activity (GO:0030528)	12228233	Synapse organization and biogenesis (GO:0050808)	7494461	Endoplasmic reticulum (GO:0005783); Cytoplasm (GO:0005737); Extracellular (GO:0005576); Golgi apparatus (GO:0005794); Perinuclear region (GO:0048471)	10460257,9428684,10460257,9428684,10460257,9428684,10460257,9428684
00102	00102_1	NP_005157.1	APLP1	Isoform_specific	Transcription regulator activity (GO:0030528)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Endoplasmic reticulum (GO:0005783)	-
00103	-	NP_001633.1	APLP2	General	Protein binding (GO:0005515)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	12499552,9556595
00104	-	NP_004295.2	ALK	General	Transmembrane receptor protein tyrosine kinase activity (GO:0004714)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Cell surface (GO:0009986)	9053841,17681947
00105	-	NP_001136.1	ANG	General	Ribonuclease activity (GO:0004540)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Extracellular (GO:0005576); Nucleolus (GO:0005730); Nucleus (GO:0005634)	7945327,7945327,7945327
00106	-	NP_000020.1	AGT	General	Peptide hormone (GO:0005180)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576)	11095476,16199891,16188874
00107	-	NP_114038.1	AGTR1	General	G-protein coupled receptor activity (GO:0004930)	7746328	Signal transduction (GO:0007165); Regulation of blood pressure (GO:0008217); Homeostasis (GO:0042592)	12522132,7491117,9766385	Plasma membrane (GO:0005886)	9766385
00107	00107_1	NP_114038.1	AGTR1	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
00108	-	NP_000780.1	ACE	General	Hydrolase activity (GO:0016787)	-	Protein metabolism (GO:0019538)	-	Plasma membrane (GO:0005886)	7977726
00108	00108_1	NP_000780.1	ACE	Isoform_specific	Hydrolase activity (GO:0016787)	-	Protein metabolism (GO:0019538)	-	-	-
00108	00108_2	NP_690044.1	ACE	Isoform_specific	Hydrolase activity (GO:0016787)	-	Protein metabolism (GO:0019538)	-	-	-
00108	00108_3	NP_690043.1	ACE	Isoform_specific	Hydrolase activity (GO:0016787)	-	Protein metabolism (GO:0019538)	-	-	-
00109	-	NP_963868.2	SLC4A3	General	Auxiliary transport protein activity (GO:0015457)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	11248201
00109	00109_1	NP_005061.2	SLC4A3	Isoform_specific	Auxiliary transport protein activity (GO:0015457)	-	Transport (GO:0006810)	-	-	-
00109	00109_2	NP_963868.2	SLC4A3	Isoform_specific	Auxiliary transport protein activity (GO:0015457)	-	Transport (GO:0006810)	-	-	-
00110	-	NP_001139.3	ANK2	General	Cytoskeletal protein binding (GO:0008092)	-	Cell growth and/or maintenance (GO:0008151)	-	Plasma membrane (GO:0005886); Endoplasmic reticulum (GO:0005783); Cytoplasmic vesicle (GO:0016023); Nucleus (GO:0005634)	1830053,11149946,10579720,11149946
00110	00110_1	NP_001139.3	ANK2	Isoform_specific	Cytoskeletal protein binding (GO:0008092)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737)	17081983
00110	00110_2	NP_066187.2	ANK2	Isoform_specific	Cytoskeletal protein binding (GO:0008092)	-	Cell growth and/or maintenance (GO:0008151)	-	Plasma membrane (GO:0005886)	1830053
00111	-	NP_005130.1	ANXA3	General	Calcium ion binding (GO:0005509)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737)	1830024
00112	-	NP_001144.1	ANXA4	General	Calcium ion binding (GO:0005509)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Nucleus (GO:0005634); Cytoplasm (GO:0005737); Golgi apparatus (GO:0005794)	10883672,10978337,10978337,10949146
00113	-	NP_001761.3	CD19	General	Receptor activity (GO:0004872)	-	Immune response (GO:0006955)	-	Plasma membrane (GO:0005886)	9648915
00114	-	NP_001762.2	CD22	General	Cell adhesion molecule activity (GO:0005194)	-	Immune response (GO:0006955)	-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737)	9774390,9143697
00115	-	NP_000601.3	CD44	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737); Nucleus (GO:0005634)	,7529574,7516819,1694723,8599448,7499241,12032545,17912438,,9058761,17081983,17081983
00115	00115_1	NP_000601.3	CD44	Isoform_specific	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
00115	00115_2	NP_001001389.1	CD44	Isoform_specific	Receptor activity (GO:0004872)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00115	00115_3	NP_001001390.1	CD44	Isoform_specific	Receptor activity (GO:0004872)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00115	00115_4	NP_001001391.1	CD44	Isoform_specific	Receptor activity (GO:0004872)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00115	00115_5	NP_001001392.1	CD44	Isoform_specific	Receptor activity (GO:0004872)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00116	-	NP_001766.2	CD38	General	Hydrolase activity (GO:0016787)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Plasma membrane (GO:0005886); Nucleus (GO:0005634)	8253715,10559984
00117	-	NP_000602.1	CD59	General	Receptor activity (GO:0004872)	7691713	Immune response (GO:0006955)	1377690	Extracellular (GO:0005576); Plasma membrane (GO:0005886); Cytoplasm (GO:0005737)	8789559,2475570,7520819,1381503,2475570,8789559
00117	00117_1	NP_000602.1	CD59	Isoform_specific	Receptor activity (GO:0004872)	-	Immune response (GO:0006955)	-	-	-
00118	-	NP_001773.1	CD72	General	Receptor activity (GO:0004872)	-	Immune response (GO:0006955)	-	Plasma membrane (GO:0005886)	11466342
00119	-	NP_001772.1	CD69	General	Receptor activity (GO:0004872)	-	Immune response (GO:0006955)	-	Plasma membrane (GO:0005886); Cell surface (GO:0009986)	10441371,8340758
00120	-	NP_001076.2	SERPINA3	General	Protease inhibitor activity (GO:0030414)	-	Protein metabolism (GO:0019538)	-	Extracellular (GO:0005576); Cytoplasm (GO:0005737); Nucleus (GO:0005634)	7588564,16188874,2945424,6762318
00121	-	NP_003055.1	SLPI	General	Protease inhibitor activity (GO:0030414)	-	Protein metabolism (GO:0019538)	-	Extracellular (GO:0005576)	12874244
00122	-	NP_000479.1	SERPINC1	General	Protease inhibitor activity (GO:0030414)	-	Protein metabolism (GO:0019538)	-	Extracellular (GO:0005576)	2991253,16188874
00123	-	NP_003038.2	SLC9A1	General	Auxiliary transport protein activity (GO:0015457)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	11163215,1979310,16710297
00124	-	NP_001173.2	ALDH7A1	General	Oxidoreductase activity (GO:0016491)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
00125	-	NP_036231.1	CD3EAP	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleolus (GO:0005730); Nucleus (GO:0005634); Cytoplasm (GO:0005737)	,9426281,15226435,,10373416,17081983,10373416
00126	-	NP_000620.2	IFNAR1	General	Transmembrane receptor activity (GO:0004888)	-	Immune response (GO:0006955)	-	Plasma membrane (GO:0005886)	2153461
00127	-	NP_000407.1	IFNGR1	General	Transmembrane receptor activity (GO:0004888)	-	Immune response (GO:0006955)	-	Plasma membrane (GO:0005886)	11585785
00128	-	NP_003211.1	TFAP2A	General	Transcription factor activity (GO:0003700)	12595566,15930016	Development (GO:0007275); Apoptosis (GO:0006915); Cell differentiation (GO:0030154); Regulation of gene expression, epigenetic (GO:0040029)	8661133,14517991,11438643,14551210,14752511,15039486,15930016	Nucleus (GO:0005634)	8321221
00129	-	NP_001634.1	APOA2	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Extracellular (GO:0005576)	1908160,16188874
00130	-	NP_000473.2	APOA4	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Extracellular (GO:0005576)	6987270,16188874
00131	-	NP_001636.1	APOC1	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Extracellular (GO:0005576)	10978346,7471419
00132	-	NP_000031.1	APOC3	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Extracellular (GO:0005576)	3095836,16188874
00133	-	NP_000375.2	APOB	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Endoplasmic reticulum (GO:0005783); Golgi apparatus (GO:0005794); Extracellular (GO:0005576)	3346254,9252351,12397072,9252351,6099394,9252351
00134	-	NP_001638.1	APOD	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Extracellular (GO:0005576)	11744388,16188874
00135	-	NP_000032.1	APOE	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Cytoplasm (GO:0005737); Extracellular (GO:0005576)	7761390,2498325,16199891,16188874
00136	-	NP_542380.1	APEX1	General	DNA repair protein (GO:0003685); Transcription regulator activity (GO:0030528)	1722334,11018583,14630715	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	9361024	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Endoplasmic reticulum (GO:0005783); Mitochondrion (GO:0005739); Nucleolus (GO:0005730)	12524539,11182545,9870152,12524539,11182545,9870152,14521941,12524539,12384995,11182545,15598749,15635413
00137	-	NP_001629.1	APOF	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Extracellular (GO:0005576)	6816269,16188874
00138	-	NP_002323.2	LRP1	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Endoplasmic reticulum (GO:0005783); Golgi apparatus (GO:0005794); Endosome (GO:0005768); Extracellular (GO:0005576); Nucleus (GO:0005634)	7961982,14645246,2112085,7961982,2112085,7961982,7961982,9295345,12888553
00139	-	NP_066285.1	NR2F2	General	Ligand-dependent nuclear receptor activity (GO:0004879)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Nucleus (GO:0005634)	1899293
00140	-	NP_000376.1	AQP1	General	Water channel activity (GO:0015250)	8340403,12027013	Transport (GO:0006810); Ion transport (GO:0006811)	7517546,10559675,11909995	Plasma membrane (GO:0005886)	3049610,14592814,7517546,12002613
00141	-	NP_000477.1	AQP2	General	Water channel activity (GO:0015250)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737); Endoplasmic reticulum (GO:0005783)	7510718,10372737,10372737,11297561
00142	-	NP_002878.2	RARS	General	Ligase activity (GO:0016874)	-	Protein metabolism (GO:0019538)	-	Cytoplasm (GO:0005737); Cytosol (GO:0005829)	10358004,7590355,15561729
00143	-	NP_001163.1	ARG2	General	Hydrolase activity (GO:0016787)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739)	8898077,11370664,15598749
00144	-	NP_001183.2	TNFRSF17	General	Receptor activity (GO:0004872)	-	Immune response (GO:0006955)	-	Golgi apparatus (GO:0005794); Plasma membrane (GO:0005886)	8527407,10903733,10903733
00145	-	NP_000781.1	DDC	General	Carboxy-lyase activity (GO:0016831)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	12200739
00146	-	NP_004032.2	ARRB1	General	Receptor signaling complex scaffold activity (GO:0030159)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Endosome (GO:0005768); Plasma membrane (GO:0005886); Nucleus (GO:0005634)	12538596,10347182,9924018,10770944,12399592,12538596
00146	00146_1	NP_004032.2	ARRB1	Isoform_specific	Receptor signaling complex scaffold activity (GO:0030159)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
00146	00146_2	NP_064647.1	ARRB1	Isoform_specific	Receptor signaling complex scaffold activity (GO:0030159)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00147	-	NP_004304.1	ARRB2	General	Receptor signaling complex scaffold activity (GO:0030159)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Plasma membrane (GO:0005886)	12538596,12538596,9346876
00147	00147_2	NP_945355.1	ARRB2	Isoform_specific	Receptor signaling complex scaffold activity (GO:0030159)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00148	-	NP_000490.1	CYP1A1	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Endoplasmic reticulum (GO:0005783); Nucleus (GO:0005634)	11792676,8442765,17081983
00149	-	NP_000653.3	NAT1	General	Acyltransferase activity (GO:0008415)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737)	11470991
00150	-	NP_002077.1	GRB2	General	Receptor signaling complex scaffold activity (GO:0030159)	15122321	Signal transduction (GO:0007165); Regulation of cell cycle (GO:0000074)	15879090,11278754	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Plasma membrane (GO:0005886)	10051406,9516488,15122321,7527043
00150	00150_2	NP_987102.1	GRB2	Isoform_specific	-	-	Apoptosis (GO:0006915)	9516488,8178156	Cytoplasm (GO:0005737)	17081983
00151	-	NP_001662.1	ASGR1	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Endoplasmic reticulum (GO:0005783)	3234178,2982798
00152	-	NP_550434.1	ASGR2	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Endoplasmic reticulum (GO:0005783); Golgi apparatus (GO:0005794); Extracellular (GO:0005576)	3234178,8397210,1597447,7843709
00152	00152_1	NP_550434.1	ASGR2	Isoform_specific	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
00152	00152_2	NP_550436.1	ASGR2	Isoform_specific	Receptor activity (GO:0004872)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
00152	00152_3	NP_550435.1	ASGR2	Isoform_specific	Receptor activity (GO:0004872)	-	Signal transduction (GO:0007165); Cell communication (GO:0007154)	-,-	-	-
